// Specialists Texture Types.  Modify this file only if texture names are changed!
//  'M' metal, 'V' ventillation, 'D' dirt, 'S' slosh liquid 
//  'T' tile, 'G' grate (Concrete is the default), 'W' wood, 'P' computer, 'Y' glass
// NOTE: only the first 12 characters of the texture name are used
// NOTE: a maximum of 512 textures may be tagged in this file

//3D Mike

//Bikini
m van_e_roof
m van_e_side

//ts_gpc

m gpc_balk1
m gpc_balk1b
m gpc_bcontainer1
m gpc_bcontainer2
m gpc_bcontainer3
m gpc_box1a
m gpc_box1b
m gpc_box1c
m gpc_buis1
m gpc_door1
m gpc_doos3
m gpc_exit1
m gpc_gcontainer1
m gpc_gcontainer2
m gpc_gcontainer3
m gpc_gpc2
m gpc_metal1
m gpc_metal2
m gpc_metal3
m gpc_metal4
m gpc_metal5
m gpc_metal6
m gpc_metal7
w gpc_schutting1
w gpc_wood1
d gpc_gras1
y gpc_glass1
y gpc_light1
y gpc_light2
y gpc_light3
y gpc_window1


//ts textures (dm_parkeerplaats)

w sp_stationkist
w crate002
w ts_wood1

m ts_lift1
m blaz_vent02
m C1A4_FUEL3
m container12
m sidecontainer
m topcontainer
m elev1
m elev2_flr
m fence001
m generic45
m lab1_trim3
m ts_garage
m ts_lift1
m ts_knop1
m ts_panels1
m ts_phone1
m ts_scratch3
m ts_scratch5
m ts_scratch6
m ts_rooster
m ts_verwarming
m xcrate9a
m xcrate9b
m xcrate9c

d grass1_mossy


//ts textures (tr_stormshield)

D blazgravel 
W kruxuscrate 
W lngwoodencrate 
W lngwoodencrate2 
W lngwoodencrate3 
W smlwoodcrate 
W smlwoodcrate 2 
Y spotlight01 
Y win_light01 
Y city_monitor 
Y krux_hazard 
M city_trans2 
M city_trans4 
M door_green 
M blaz_metaldoor1 
M pipe23 
M krux_pipe 
M krux-pipe23 
M blaz_vent02 
M krux_metalbox4 
M krux_metalboxb1 
M krux_metalboxb2 
M hl_barrel  
M door002 
M door005 



//TS textures(henningsen map)

W ts_books
w floor004
w bparquet
w ts_crate

//TS textures

W fo_cassa1
W fo_cassa1s
W fo_cassa2
W fo_cassa2b
W fo_cassa3
M fo_cil1
M fo_cil2
M fo_cil3
M fo_cil4
M fo_cilblu
M fo_ciltopblu
M fo_ciltop

//TS textures(TS_ph.wad)

W crate001
W crate002
M doors_bigdoor4
M doors_metaldoo2
M metals_metal3
M panels_panels3
M panels_panels4
D out_dirt3
D out_dirt4
D out_dirt5
D out_dirt6
D out_dirt7
D out_dirt8
D out_grass1
D out_rocks1
D out_rocks2

//TS textures(specialists.wad)

W wood2
W wood21
W wood3
W wood3a
W wood3b
W wood4a
W wooddark
W woods_wood3

//TS_Antrodome by Stratesiz
p +0strat_screen2
p +0strat_scren_2
m blaz_elevdoor
w rs_woodwall2d
w rs_woodwall3d
w rs_woodwall_b
m smoe_freeze
w strat_door2_d
w strat_door2_e
y strat_door5
m strat_fire
m strat_fire2
w strat_multa
w strat_prqt_drk2
w strat_prqt_lit2
w strat_screen_b
w strat_test_tbl
w strat_wood4
d vh_ground3b
m xen_ritila
t xen_tile5b
w xen_wood_cmpt
w xen_wood_test8
y ~light3b
y hoglass1
m hokitchenmetal
w howood1
w po_ceilbar
v po_ventsdrust

//TS_Awaken by Dredd
w bl_crate01
w bl_crate03a
t bl_jakfloor01
w bl_jawfloor01
m bl_metal01
m bl_pipe03
m bl_roof01
y bl_window01a
t pk_sndfloor1a

//TM_Harbor by Sm0lders
M dumpsterfront
M dumpsterside
D gravel01
D gravelgrass03
D gravelgrass04
M harborvent
M pipes3
M rd_busback
M rd_busfront
M rd_buslights
M rd_busside
M rd_bustop
M rd_door1
M rd_frontcabin
M rd_frontlight
M rd_frontwindow
M rd_fuel1
M rd_fuel2
M rd_fuel3
M rd_fuel3graf
M rd_galv1
M rd_metalrust
M rd_pipes01
M rd_side7337
m rd_side7337flip
m rd_t_crate12
m rd_t_crate13
m rd_t_crate16
m rd_t_crate17
m rd_t_crate18
m rd_t_crate19
w rd_thecrate1
w rd_thecrate2
w rd_thecratenorm
m rd_trailer_back
m rd_trailerside1
m rd_trailerside2
m rd_trailertop
m rd_trainyellow
m rd_truck_back
M rd_truck_front
m rd_truck_fside
m rd_truck_side
m rd_warehousedoor
m t_wall58
m warehousedoor

//TS_Hammertime by WillSchnevel
w cg_buildmat04
m mp_door57ba_b
m mp_door69
m mp_garagedoor3a
w will_door1
w will_walllining
w will_wood2_256

//7 textures from 2.0 Henny
w sg_books1
w sg_books2
w cf_m_wd3
w cf_m_wd1
w wood21
w wood4a
m elev2_dr

//A couple from 2.2 henny by Schmung
t hofloor8
w howoodtrim
w pfk_woodtrim1b
w pkw_crate01a
w pkw_crate01b
w pk_chcomwood2b
w floor004

//TS_Heresy by Manah
w avafloor1
m {pi_scaffold
m {plu_scaf02
t fl_tile1
m in_door7
m in_door8
m in_dumpster
m in_metal_rus1
t i_floor1
t i_floor2
t i_ground2
y patteson
y st_wind2
d grass3
d drystonewall2
d drystonewall3
d embankment2
d hay1
d hay2
w dmc_woo01
w door01a
w tabletop
m cipipe1
m cipipe2

//TS_Kissmeyerbasic by Mazy
d fap-dirt01
m fap-elevat_
m far-fire01
m fap-fire02
t fap-floor01
t fap-floor02
t fap-floor03
t fap-floor04
m fap-furebox01
y fap-glass01
w fap-wood02
w fap-wood03
w fap-wood04
w fap-wood05

//TS_LobbyDuel by Morfeo
m enginemetal

//TS_Metro by Clan-Kill3r
m stripes2
m containerbl1
m containerbl2
m containergrn1
m containergrn2
m containergrn3
m containerred1
m containerred2
m containerred3
m kluisje
m kluisje2
w stationkist
w box_w_m2
m garage
m door_green_021
w zwood

//TS_Neobaroque by EvilTaxi
y win3
d out_grass1
t abv_square1b
t cuiflra
t cuiflrb
t cuiflrd
t cuiflre
d cxrockf
d cxrockfbase
w cxwoodl
w k_door01k
w tk_litecrate1
y win2_big
s !mtxwater

//TS_Panzibar by Schmung
w mz_woodpln_v
s !pkf_water1
w pkf_woodfloor1
w pkw_crate01a
w pkw_crate01b
w pkw_door01b
w pk_chcomwood1a
w pk_chcomwood1b
w pk_chcomwood2a
w pk_chwoodwall1b
w {pk_chcomwood1

//TS_Rundown by WillSchnevel
d dm_canyonsand1
d -0dsrt_rock2
d -1dsrt_rock2
d -2dsrt_rock2
d -3dsrt_rock2
d dm_crumble1
w dm_cuwoodm
m dm_in_door7
w mp_box12b
m mp_filecab02
m mp_metalbox02a
w mp_woodcrate1
w TOL_oakDdesert
m {dm_cs_le6lad

//TS_Supertimor by Mazy
m timorcontain06
m timorcontain07
m timorcontain08
w timorcrate01
w timorcrate02
w timorcrate04
w timorcrate05
w timorcrate06
w timorcrate07
w timorcrate19
w timorcrate20
w timorcrate21
w timorcrate22
m timordoor01
m timordoor02
m timordoor04
m timordoor07
m timordoor11
m timordoor12
m timordoor13
m timordumpster01
m timorfence01
d timorgrass01
m timormetal02
m timormetal03
m timormetal04
m timormetal06
m timormetal07
m timormetal08
m timormetal09
m timormetal10
m timormetal11
m timormetal12
m timortrash01
m timortrash02
m timorvan04
m timorvan05
m timorvan06
v timorvent01
v timorvent04
y timorwindow02
y timorwindow04
y timorwindow05
y timorwindow06
y timorwindow08
y timorwindow10
y timorwindow11
w timorwood01
w timorwood02

//TS_Theatre by X-Tender
m xt_m_door2
d xt_m_grass
m xt_m_stagebox1
m xt_m_stagebox1b
m xt_m_stagebox1c

//TS_Urbannights by CayleGeorge
m cg_arccngr01
m ch_arccngr03
m cg_atm01
w cg_boxwc01
w cg_boxwc02
m cg_buildbtn01
w cg_builddr01
w cg_buildmat06
w cg_buildmat05
w cg_cardbox01
w cg_cardbox02
m cg_corrpldn01
m cg_davet00
m cg_davet01
m cg_elkybk
m cg_elkybkw
m cg_eklyft
m cg_elkyftw
m cg_elkyhd
m cg_elkylp
m cg_elkysd
m cg_fishtrk01
m cg_fishtrk02
m cg_fishtrk03
m cg_fishtrk05b
m cg_fishtrk07
w cg_gencrate01
w cg_gencrate04
d cg_medowgr1
w cg_paintpal01
w cg_paintpal02
m cg_rictrk01
m cg_rictrk02
m cg_wctrk01
m cg_wctrk02
m cg_wctrk03
m subway_pho1
m subway_pho4

//TS_Wyndam by Lois_Must_Die
m door_roofdoor1
m pipe2
m pipe1
w woodflr
m hk_sign1
m hk_sign11
m hk_sign13
m hk_sign14
m hk_sign15
m hk_sign3
m hk_sign6
m hk_sign7
m hk_sign8
m hk_sign9
m om_hb_sign2
m om_hb_sign3
m om_hb_sign4
m om_payphone
m backofen_a
m backofen_c
w booth_wood_1
w booth_wood_1b
m citrashcans
m citrashcant
w door006
m door30_128x256
m door40ba
m doo51_128x256
m in_trans2
m in_trans3
m in_trans4
y in_window10c
m kuche_a
m kuche_e
m kuche_f
m kuche_g
m kuhlschrank_a
m kuhlschrank_b
m rd_pipes01
m rd_trailertop
m steeldoor02ba
t tile16b2
t tile31a
t tile41a2
t tile45_256x256
w wood4
w wood7
m wooden_doors
w wood_flr1_4
m xen1_door5
t xen1_tile3_2
y xen1_window4
y xen1_window6
m xen2_door5
y xen2_window2
y xen2_window2a
w zts_pillar2
w po_cratetop
m po_doormetal04
m po_doormetal05
m po_doormetal06
m po_doormtlsubw
w po_doorwood03
y po_winindus2
y po_winindus2a
y po_winindus4
g {po_centfrrst
m po_rustmetalblu
m hokitchenair2
w po_hardwdfloor
w po_wood2
m hb_sign_011
m hb_sign_014
m hb_sign_022
m hb_sign_028
m hb_sign_33
m hb_sign_026
m {om_tearail2

// Half-Life Texture Types.

V DUCT_FLR01
V DUCT_FLR01A
V DUCT_FLR02A
V DUCT_VNT
V DUCT_VNT2
V DUCT_WALL01
V DUCT_WALL02
V DUCT_WALL03
V DUCT_WALL04
V SILO2_COR

D OUT_GRVL1
D OUT_GRVL2
D OUT_GRVL2B
D OUT_GRVL3
D OUT_MUD1
//D OUT_RK1
//D OUT_RK2
//D OUT_RK3
//D OUT_RK4
D OUT_SND1
D OUT_SND2
D OUT_SND2B
D OUT_SND2C
D OUT_WLK
D OUT_GRSS1
D OUT_DIRT1
D OUT_DIRT2
D GENERIC48
D GENERIC49
D GENERIC51
D GENERIC52
D GENERIC93
D OUT_PAVE2
D OUT_SNBAG
D OUT_SNBAG2
D OUT_SNBAGB
D OUT_SNBAGC
D OUT_TNT2
D OUT_TNT1
D OUT_TNT1B
D OUT_TNT1C
D OUT_TNT3
D OUT_TNT3B
D OUT_NET1
D OUT_NET1B
D FROSTSEWFLR

G GENERIC109
G GENERIC015C
G GENERIC015D
G GENERIC015E
G GENERIC015F
G GENERIC015G
G GENERIC015H
G GENERIC015I
G GENERIC015
G GENERIC015A
G GENERIC015B
G BABTECH_FLR02
G CRETE2_FLR03
G CRETE2_FLR03A
G CRETE2_FLR03B
G CRETE2_FLR03C
G ELEV1_FLR
G ELEV2_FLR
G ELEV_FLR
G GRATE1
G GRATE2
G GRATE2A
G GRATE3A
G GRID1
G GRID2
G TNNL_FLR12
G TNNL_FLR12A
G TNNL_FLR1A
G LAB1_STAIR2A
G FROSTFLOOR
G GRATE4A
G GRATE3B
G GRATESTEP1
G GRATESTEP2
G GRATESTEP3
G GRID1
G GRID2
G GENERIC015V

//M TNNL_FLR6
//M TNNL_FLR6B
M C1A1_FLR1
M BABFL
M C2A3TURBINE1
M C2A3TURBINE2
M C2A3TURBINE3
M C2A3TURBINE4
M SILO2_P2
M SILO2_P2B
M SILO2_P3
M SILO2_P4
M SILO2_PAN2
M SILO2_W1
M SILO2_W1A
M SILO2_WALL1
M SILO2_W2
M BABTECH_C5
M LAB3_FLR2A
M LAB3_FLR2B
M FIFTIES_CMP3
M LAB1_STAIR2B
M OUT_QUNST11
M FREEZER_FLR1
M GENERIC015N
M GENERIC015P
M GENERIC015R
M GENERIC0150
M GENERIC015S
M GENERIC015T
M GENERIC015U
M GENERIC015V
M GENERIC015V2
M C1A4_DOME3

S GENERIC_114
S WATERBLUE
S WATERGREEN
S TOXICGRN
S FLUID1A
S FLUID1B
S FLUID2
S FLUID3
S FLUID4
S WATERSILO
S WATERSILO2
S WATERF
S FLUID1A

T FIFT_BLOODFLR
T FIFT_BLOODFLRA
T FIFTIES_F01
T FIFTIES_F02
T FIFTIES_F03
T FIFTIES_F03B
T FIFTIES_FLR01
T FIFTIES_FLR02
T FIFTIES_FLR02B
T FIFTIES_FLR02C
T FIFTIES_FLR03
T FIFTIES_FLR03B
T FIFTIES_FLR5
T LAB1_BLUXFLR1
T LAB1_BLUXFLR1B
T LAB1_BLUX1
T LAB1_BLUX1B
T LAB1_C4003
T LAB1_C4A001
T LAB1_C4B002
T LAB1_C4D2
T LAB1_CAB2
T LAB1_FLOOR2A
T LAB1_FLOOR2B
T LAB1_FLOOR3
T LAB1_FLOOR4
T LAB1_FLOOR5
T LAB1_FLOOR6
T LAB1_FLOOR10
T LAB1_FLR3
T LAB1_FLR4
T LAB1_FLR4B
T LAB1_FLR4C
T LAB1_FLR4D
T LAB1_FLR5B
T LAB1_FLR5C
T LAB1_FLR5D
T LAB1_FLR5D
T LAB1_FLR6B
T LAB1_FLR6C
T LAB1_FLR6D
T LAB1_W8FLR1
T LAB1_W8FLR1B
T LAB1_W8FLR1C
T LAB1_W8FLR1D
T C2A4_FLR6
T C1A2_FLR1
T C1A2_FLR2
T C1A0_LABFLRB
T C1A0_LABFLRC
T C1A0_LABFLRD
T C1A0_LABFLRE
T C1A0_LABFLR

// UNBREAKABLE CRATES
W CRATE01
W CRATE02
W CRATE02B
W CRATE03
W CRATE04
W CRATE05
W CRATE06
W CRATE07
W CRATE08
W CRATE08B
W CRATE09
W CRATE09B
W CRATE09C
W CRATE19
W CRATE20
W CRATE21
W CRATE22
W CRATE23
W CRATE25
W FIFTIES_DR6
W FIFTIES_DR6A
W FIFTIES_CCH1
W FIFTIES_CCH2
W FIFTIES_CCH3
W FIFTIES_CCH4
W FIFTIES_DR1K
W FIFTIES_DR2
W FIFTIES_DR7
W FIFTIES_DR8
W FIFTIES_DR9
W FIFTIES_DSK1
W OUT_SLAT01
W OUT_WD
W OUT_CAC1
W OUT_CAC2
W OUT_CAC2
W BCRATE02
W BCRATE03
W BCRATE04
W BCRATE05
W BCRATE06
W BCRATE07
W BCRATE08
W BCRATE12
W BCRATE14
W BCRATE15
W BCRATE16
W BCRATE17
W BCRATE18
W BCRATE25
W BCRATE26
W CRATE10
W CRATE11
W CRATE12
W CRATE13
W CRATE24
W CRATE27

P C3A1_NRC2
P C1A1_GAD1
P C1A1_GAD2
P C1A1_GAD3
P C1A1_GAD4
P C1A1_GAD4A
P C1A1_GGT8
P C1A4_PAN1A
P C1A4_PAN1B
P C1A4_SWTCH1
P C2A2_SATORB
P C2A4_CMP1
P C2A4_GAD2
P C3A2A_W1D
P C3A2A_W1E
P C3A2A_W2D
P C3A2A_W2E
P DRKMTL_SCRN2
P DRKMTL_SCRN3
P DRKMTL_SCRN4
P DRKMTLT_WALL
P FIFTIES_GGT8
P FIFTIES_MON1
P FIFTIES_MON1B
P FIFTIES_MON2
P FIFTIES_MON2B
P FIFTIES_MON3
P FIFTIES_MON3B
P FIFTIES_MON4
P FIFTIES_PAN2
P GENERIC105
P GENERIC106
P GENERIC107
P GENERIC114
P GENERIC87A
P GENERIC88A
P GENERIC89A
P GENERIC113
P LAB1_CMPM1
P LAB1_CMPM2
P LAB1_CMPM3
P LAB1_CMPM4
P LAB1_CMPM5
P LAB1_CMPM6
P LAB1_CMPM7
P LAB1_CMPM8
P LAB1_COMP1
P LAB1_COMP2
P LAB1_COMP3
P LAB1_COMP2A
P LAB1_COMP10A
P LAB1_COMP10B
P LAB1_COMP10C
P LAB1_COMP10D
P LAB1_COMP10E
P LAB1_COMP7
P LAB1_COMP8
P LAB1_COMP9A
P LAB1_COMP9A2
P LAB1_COMP9B
P LAB1_COMP9C
P LAB1_COMP9D
P LAB1_GAD2
P LAB1_GAD3
P LAB1_GAD4
P LAB1_RADSCRN2
P LAB4_GAD3
P LAB4_GAD4
P LAB4_SWTCH
P LAB_COMPM4
P RECHARGEA
P TNNL_GAD1
P TNNL_GAD2
P TNNL_GAD4
P C2A4C2C
P C2A4W1B
P LAB1_CMP
P LAB1_CMP1
P LAB1_CMP2
P LAB1_COMP3
P LAB1_COMP3A
P LAB1_COMP3B
P LAB1_COMP3C
P LAB1_COMP3D
P LAB1_COMP4
P LAB1_COMP5
P LAB1_COMP7
P LAB1_COMP8
P LAB1_SW1
P LAB_CRT1
P LAB_CRT10A
P LAB_CRT10B
P LAB_CRT10C
P LAB_CRT10D
P LAB_CRT2
P LAB_CRT3
P LAB_CRT4
P LAB_CRT5
P LAB_CRT6
P LAB_CRT7
P LAB_CRT8
P LAB_CRT9C
P CRETESTCH01A
P DRKMTLLGT1
P FIFTS_LGHT01
P FIFTS_LGHT3
P FIFTS_LGHT4
P FIFTIES_LGT2
P FIFTS_LGHT5
P GYMLIGHT
P LIGHT1
P LIGHT2A
P LIGHT3A
P LIGHT3B
P LIGHT3C
P LIGHT3D
P LIGHT3E
P LIGHT3F
P LIGHT4A
P LIGHT5A
P LIGHT5B
P LIGHT5C
P LIGHT5D
P LIGHT5E
P LIGHT5F
P LIGHT6A
P METALSTCH2
P TNNL_LGT1
P TNNL_LGT2
P TNNL_LGT3
P TNNL_LGT4
P LAB1_GAD2
P ELEV1_DWN
P SPOTBLUE
P SPOTGREEN
P SPOTRED
P SPOTYELLOW
P LAB1_GAD3
P LAB1_GAD3B
P ELEV2_PAN
P ELEV1_PAN
P C2A4X_C3
P C2A4X_C1
P MEDKIT

Y GLASS_BRIGHT
Y GLASS_DARK
Y GLASS_MED
Y GLASSBLUE1
Y GLASSBLUE2
Y GLASSGREEEN
Y GLASSGREEEN
